,locality,city,area,beds,area_rate,rent
0,Goregaon East,Mumbai,897.0,2,134.0,120000.0
1,Powai,Mumbai,490.0,1,82.0,40000.0
2,Mundhwa,Pune,550.0,1,22.0,12000.0
3,Hingna,Nagpur,1000.0,2,8.0,8000.0
4,Mira Road,Mumbai,595.0,1,25.0,15000.0
5,Jakkur,Bangalore,600.0,1,27.0,16000.0
6,Chittaranjan Park,New Delhi,1260.0,3,47.66666666666666,60000.0
7,Soami Nagar South,New Delhi,2700.0,3,74.11111111111111,200000.0
8,Hadapsar,Pune,650.0,1,17.0,11000.0
9,Kharadi,Pune,495.0,1,48.0,24000.0
10,Indira Nagar,Bangalore,2000.0,4,40.0,80000.0
11,Whitefield,Bangalore,1543.0,3,39.0,60000.0
12,Powai,Mumbai,380.0,1,184.0,70000.0
13,Bandra East,Mumbai,1281.0,3,222.0,290000.0
14,Bandra East,Mumbai,2200.0,4,159.0,350000.0
15,Jogeshwari Vikhroli Link Road,Mumbai,2600.0,4,92.0,240000.0
16,Hinjewadi,Pune,862.0,2,35.0,30000.0
17,Jyoti Nagar East,New Delhi,1080.0,3,23.0,25000.0
18,Madanpur Khadar Village,New Delhi,700.0,1,19.0,13000.0
19,C V Raman Nagar,Bangalore,1900.0,3,37.0,70000.0
20,Baner,Pune,1000.0,2,35.0,35000.0
21,Dudulgaon,Pune,819.0,3,24.0,20000.0
22,Mohan Nagar,Nagpur,400.0,1,25.0,10000.0
23,Kharadi,Pune,2500.0,4,37.0,92000.0
24,Balagere,Bangalore,1200.0,2,16.0,19000.0
25,Manewada,Nagpur,990.0,2,11.0,11000.0
26,Wadala West,Mumbai,400.0,1,100.0,40000.0
27,Dhanori Road,Pune,750.0,2,35.0,26500.0
28,MedaHalli,Bangalore,300.0,2,83.0,25000.0
29,Harsha Layout,Bangalore,850.0,1,11.0,9000.0
30,Hinjewadi,Pune,1500.0,3,20.0,30000.0
31,Frazer Town,Bangalore,2350.0,4,38.0,90000.0
32,Loni Kalbhor,Pune,1200.0,2,10.0,12000.0
33,Kirkatwadi,Pune,480.0,1,15.0,7000.0
34,Budigere,Bangalore,1153.0,2,29.0,34000.0
35,Chhattarpur,New Delhi,900.0,2,23.0,21000.0
36,Dindoshi - Malad East,Mumbai,950.0,2,68.0,65000.0
37,Raj nagar,Nagpur,3000.0,5,8.0,25000.0
38,Aundh,Pune,980.0,2,30.0,29000.0
39,Wadi,Nagpur,950.0,3,9.0,9000.0
40,Ram Das Peth,Nagpur,1300.0,3,27.0,35000.0
41,Kasavanahalli,Bangalore,1500.0,2,27.0,40000.0
42,Adarsh Nagar,Nagpur,1000.0,3,25.0,25000.0
43,Marathahalli,Bangalore,1180.0,2,32.0,38000.0
44,Hebbal,Bangalore,3000.0,3,57.0,170000.0
45,Bandra West,Mumbai,950.0,2,142.0,140000.0
46,Mahipalpur,New Delhi,630.0,2,13.0,8000.0
47,Bavdhan,Pune,3186.0,5,44.0,140000.0
48,Sahakara Nagar,Bangalore,1400.0,3,29.0,40000.0
49,Hebbal,Bangalore,1420.0,2,25.0,35000.0
50,Pitampura,New Delhi,1200.0,3,29.0,35000.0
51,Borivali East,Mumbai,1094.0,3,112.0,120000.0
52,Hennur,Bangalore,3000.0,4,67.0,200000.0
53,Andheri West,Mumbai,1500.0,3,60.0,90000.0
54,NIBM Road,Pune,1350.0,3,39.0,52000.0
55,Pimple Nilakh,Pune,800.0,2,30.0,24000.0
56,Kalbadevi,Mumbai,315.0,1,143.0,45000.0
57,Electronic City,Bangalore,2000.0,3,13.0,25000.0
58,Manjri Budruk,Pune,630.0,1,12.0,7500.0
